,title,type,source,text,added_date
22,Denmark's Novo Nordisk and South Africa's Aspen sign a deal to produce insulin for African patients,World,AP Finance,"Danish pharmaceutical company Novo Nordisk signed a deal with South Africa's Aspen Pharmacare to produce human insulin for diabetes patients in Africa, where there is a dire need for the life-saving treatment.  The Africa Centers for Disease Control and Prevention welcomed the move Wednesday, saying it would “greatly impact the fight against diabetes” in Africa.",2023-09-20 12:49:44.557081
23,US STOCKS-Futures inch up on hopes of pause in Fed rate hikes,Business,Reuters,"U.S. stock index futures edged higher on Wednesday on expectation of a pause in interest-rate hikes by the Federal Reserve, even though gains were capped by worries over the economic fallout of rates staying higher for longer.  The U.S. central bank is expected to maintain its key rate in the range of 5.25%-5.50% at 2 p.m. ET, but the focus will be on projections and Chair Jerome Powell's comments for clues on the outlook for rates and inflation.  Recent economic data has signaled an easing in core inflation, fuelling bets of a likely peak in interest rates, but surging oil prices have left a print on the headline inflation figures, paving the way for the Fed to project higher-for-longer rates.",2023-09-20 12:53:31.294003
24,Moody's enters Vietnam rating market with joint venture,Business,Reuters,"Vietnam's finance ministry has issued a license to a credit rating agency co-owned by U.S. giant Moody's, the company said, allowing for the first time a U.S. firm to get involved in the rating of domestic issuers of corporate bonds.  The authorisation caps a long push by Moody's and U.S. authorities to obtain the licence and comes shortly after U.S. President Joe Biden boosted formal ties with Vietnam during a trip to Hanoi earlier in September.  Vietnam Investors Service and Credit Rating Agency (VIS Rating), in which Moody's owns a 49% stake, will provide credit rating services to domestic corporate issuers, Moody's said in a statement late on Tuesday, noting outstanding bonds in Vietnam were worth 13% of the country's economy.",2023-09-20 12:57:43.831799
25,A soft landing won't be an 'Aha!' moment for the Fed,Business,Yahoo Finance,"The Fed’s soft landing won’t come as a big, climactic moment, but will feel like a process always on the verge of failure.",2023-09-20 13:01:55.352304
26,WRAPUP 1-Fed projections to show if 'soft landing' is new baseline ... or baseless,Business,Reuters,"Confident the Federal Reserve will leave interest rates unchanged, investors are far more focused on the release of new forecasts on Wednesday that will reveal how much U.S. central bank policymakers buy into the prospect of an economic ""soft landing"" and what rate environment will prevail alongside it.  In the near term, Fed officials are expected to still project one more rate hike before the end of 2023, likely to be delivered at their Oct. 31-Nov. 1 meeting.  But beyond that, the release of the updated Summary of Economic Projections will force Fed policymakers to show if they believe a recent run of good data can continue - with inflation slowing alongside stronger-than-anticipated job and economic growth - or whether even more restrictive monetary policy will be needed to finish the fight against rising prices despite the risks that brings of a hard stop to the post-pandemic economic expansion.",2023-09-20 13:01:55.352304
27,Fed projections to show if 'soft landing' is new baseline ... or baseless,Business,Reuters,"Confident the Federal Reserve will leave interest rates unchanged, investors are far more focused on the release of new forecasts on Wednesday that will reveal how much U.S. central bank policymakers buy into the prospect of an economic ""soft landing"" and what rate environment will prevail alongside it.  In the near term, Fed officials are expected to still project one more rate hike before the end of 2023, likely to be delivered at their Oct. 31-Nov. 1 meeting.  But beyond that, the release of the updated Summary of Economic Projections will force Fed policymakers to show if they believe a recent run of good data can continue - with inflation slowing alongside stronger-than-anticipated job and economic growth - or whether even more restrictive monetary policy will be needed to finish the fight against rising prices despite the risks that brings of a hard stop to the post-pandemic economic expansion.",2023-09-20 13:06:35.755264
28,Analysis-Fixing oversight culture may be biggest challenge in averting future bank crises,Business,Reuters,"As U.S. regulators start to overhaul the way they police lenders after three banks failed this year, they will have to address examiners' hesitancy to raise red flags, a deep-seated problem that has plagued the system for years.  The Federal Deposit Insurance Corporation (FDIC) this month released its review into the demise of First Republic Bank, the third official postmortem into the crisis which also felled Silicon Valley Bank (SVB) and New York's Signature Bank.  The postmortems on why bank managers and regulators were not able to avert disaster reveal a common theme: Federal Reserve and FDIC examiners tasked with ensuring banks follow rules and remain sound spotted major problems but acted too slowly.",2023-09-20 13:06:35.757263
29,Tesla supplier Hota to build first US factory in New Mexico,Business,Reuters,"Tesla supplier Hota Industrial Mfg. Co will invest $99 million to build its first plant outside of Asia in the U.S. state of New Mexico, the Taiwanese company said on Wednesday, citing greater emphasis on regional production in supply chains.  Hota, which makes gears and other auto components primarily in Taiwan, said it would begin construction on the factory in Santa Teresa, near the U.S. border with Mexico, early next year and mass production in 2025.  ""With three years of COVID-19 and the U.S.-China trade war changing globalization and creating regional supply chains, we restarted our thinking about going to the United States to make a deeper investment,"" Chairman David Shen told a news conference in Taipei on Wednesday.",2023-09-20 13:13:13.887364
30,Klaviyo prepares for US market debut after pricing IPO above range,Business,Reuters,"Marketing automation company Klaviyo was set to list its shares on the New York Stock Exchange on Wednesday, in a third big test for the market for new issues following smooth debuts of Arm Holdings and Instacart.  The Boston-based company's initial public offering was priced above range on Tuesday, raising $576 million in proceeds, part of which will go to existing investors who cashed out some of their holdings.  The offering gave Klaviyo a valuation of $9.2 billion.",2023-09-20 13:13:13.889376
31,Marketmind: Fed vigil sees oil recoil and UK surprise,Business,Reuters,"If the Federal Reserve was looking for some last minute clarity on the inflation picture before announcing its latest policy decision on Wednesday, it will be sorely disappointed.  This week's inflation readouts from across the G7 are - like so much else - sending mixed signals.  Canada's consumer prices raced ahead at an unexpectedly brisk clip last month, but outlier Britain got a positive surprise as inflation there fell back in August.",2023-09-20 13:15:36.478669
32,India to find 'pragmatic solutions' on tobacco rules for streaming firms,World,Reuters,"India's health ministry has agreed to find ""pragmatic solutions"" for stricter tobacco warnings on content appearing on likes of Netflix and Amazon Prime after the streaming industry raised objections, a government meeting record showed.  To curb tobacco use, India in May ordered streaming platforms to insert static health warnings during smoking scenes and at least 50 seconds of anti-tobacco disclaimers at the start and in the middle of each programme.",2023-09-20 13:24:17.067142
33,European Stocks Climb Ahead of Fed; Pound Falls: Markets Wrap,Business,Bloomberg,"(Bloomberg) -- European stocks rose and the pound weakened after British inflation slowed unexpectedly, catching traders off guard as they prepare for the Federal Reserve’s policy decision later.Most Read from BloombergVegas’ Newest Resort Is a $3.7 Billion Palace, 23 Years in the MakingTrudeau’s Murder Claim Risks Upending US Courtship of IndiaF-35 Debris Found After a $100 Million Fighter Jet Went MissingDollar Rally Is Crushing One of the Most Popular Trades of 2023Sterling fell as much as 0.",2023-09-20 13:35:07.376243
34,India's Ola Electric eyes IPO filing by end-Oct in expedited listing plan-sources,Business,Reuters,"India's Ola Electric plans to file regulatory papers for its up to $700 million IPO before the end of October as the e-scooter maker fast-tracks its listing move, three people with direct knowledge said.  Backed by investors including Singapore's Temasek and Japan's SoftBank, Ola Electric was valued at $5.4 billion in a recent fund raising.  In an email to its bankers and lawyers on Sunday, an Ola Electric executive asked external advisers on the IPO - including the investment banking units of India's Kotak and ICICI, as well as foreign banks including Bank of America and Goldman Sachs - to give ""utmost priority"" to meet a five-week deadline, said the sources.",2023-09-20 13:37:11.776106
35,UPDATE 1-Toshiba says JIP's $14 bln tender offer set to succeed,Business,Reuters,"A $14 billion tender offer to take Toshiba private is set to succeed, the Japanese company said on Wednesday, clearing a way for Japan's biggest deal this year.  Toshiba has received a report from the buyer, a group led by Japan Industrial Partners (JIP), that the tender offer ""is forecasted to be successful,"" the company said.  JIP, a private equity firm, launched a 4,620 yen ($31.24) per share bid to take Toshiba private last month, a move that would put the electronics-to-power stations maker in domestic hands after years of battles with overseas activist shareholders.",2023-09-20 13:37:11.778109
36,TIMELINE-UAW workers set to expand strike against the 'Detroit Three' as deal remains elusive,Business,Reuters,"The UAW union launched simultaneous strikes at three factories owned by General Motors, Ford and Chrysler parent Stellantis last Friday.  Here is a timeline of events beginning with the election of the new UAW chief in March:  Date  Development  March 25  Shawn Fain wins the race for the  role of UAW president; vows to take a tough  stance with the Big Three automakers.",2023-09-20 13:45:56.488760
37,Stock futures step higher as markets wait for Fed: Stock market news today,Business,Yahoo Finance,Wall Street stocks set up for a higher open as investors focus on what the Fed plans for the future.,2023-09-20 14:00:59.548693
38,UK’s Unexpected Inflation Drop Opens Prospect of Rates Pause,Business,Bloomberg,"(Bloomberg) -- Britain’s inflation rate fell unexpectedly to the lowest level in 18 months, opening the prospect that the Bank of England could pause or even end its quickest series of interest rate hikes in three decades.Most Read from BloombergVegas’ Newest Resort Is a $3.7 Billion Palace, 23 Years in the MakingTrudeau’s Murder Claim Risks Upending US Courtship of IndiaF-35 Debris Found After a $100 Million Fighter Jet Went MissingDollar Rally Is Crushing One of the Most Popular Trades of 2023",2023-09-20 14:00:59.551724
39,"Fed expected to stand pat, signal another rate hike",Business,Yahoo Finance,The Federal Reserve is expected to keep interest rates steady on Wednesday while releasing new economic forecasts that could offer clues about future actions from the central bank.,2023-09-20 14:03:13.994531
40,Block Inc's Square enters Canadian pot market with Jane Technologies as partner,Business,Reuters,"Square, a unit of fintech company Block Inc, said on Wednesday it would enter the Canadian cannabis market through a partnership with e-commerce platform Jane Technologies.  The payments processing firm — founded by Jack Dorsey, co-founder of Twitter (now known as X) — said it would launch an early access program in the Ontario province for licensed dispensaries to test its retail point-of-sale offerings.  Those who sign-up with Square for payments systems in physical stores would also be able to use Jane's platform for selling their products online, the companies said.",2023-09-20 14:06:33.132696
41,India asks citizens to be careful if traveling to Canada as rift escalates over Sikh leader’s death,World,AP Finance,"India on Wednesday advised its citizens to be careful when traveling to Canada as a rift between the two nations escalates further in the wake of Ottawa’s allegations that India may have been involved in the killing of a Sikh separatist leader in suburban Vancouver.  The foreign ministry in New Delhi issued an updated travel advisory, urging its nationals and especially those studying in the North American country to be cautious because of “growing anti-India activities and politically condoned hate-crimes.”  Indians should also avoid going to venues in Canada where “threats have particularly targeted Indian diplomats and sections of the Indian community who oppose anti-India agenda,” the ministry said.",2023-09-20 14:07:30.878685
42,Goldman Sachs raises over $15 billion for secondary private equity deals,Business,Reuters,"Goldman Sachs' asset management arm said two funds have closed, raising more than $15 billion for funds that enable investors to make secondary investments in existing private equity (PE) deals.  Goldman Sachs Asset Management's ""Vintage IX"" fund raised $14.2 billion, exceeding its target of $12 billion, from institutional investors, wealthy clients and bank employees, it said in a statement on Wednesday.  The inaugural Vintage Infrastructure Partners separately raised about $1 billion, it said.",2023-09-20 14:07:30.878685
43,EXPLAINER-Nagorno-Karabakh: tensions between Armenia and Azerbaijan explained,World,Reuters,"Azerbaijan looked set on Wednesday to regain control of the breakaway ethnic Armenian-populated region of Nagorno-Karabakh after a 24-hour offensive, having fought two wars with Armenia over the territory in the past 30 years.  WHAT IS NAGORNO-KARABAKH?  Nagorno-Karabakh, known as Artsakh by Armenians, is a mountainous region within Azerbaijan that is internationally recognised as part of that country.",2023-09-20 14:09:43.393716
44,Cheerios maker General Mills tops quarterly sales estimates on higher prices,Business,Reuters,"Shares of the Minnesota-based company, which have fallen more than 21% this year, rose more than 1% in premarket trade, as it also reaffirmed its annual sales and profit targets.  The Cheerios cereal maker reported net sales $4.91 billion in the first quarter compared with $4.72 billion a year earlier.",2023-09-20 14:12:12.233178
45,Edmunds answers the most asked questions from first-time EV buyers,Business,AP Finance,"As sales of electric vehicles continue to grow, so do the number of questions curious shoppers have when considering making the switch to a fully electrified car, truck or SUV.  Undoubtedly, the experience of driving and owning an electric vehicle is different from the traditional one for a gas-powered vehicle.  To help first-time EV shoppers, the automotive experts at Edmunds address the most common concerns car shoppers have about going electric.  SHOULD I WORRY ABOUT RANGE ANXIETY?",2023-09-20 14:14:12.333016
46,UPDATE 1-Cheerios maker General Mills tops quarterly sales estimates on higher prices,Business,Reuters,"General Mills exceeded analysts' expectations for quarterly sales on Wednesday, as price hikes on its breakfast cereals, snack bars and pet food products helped cushion a blow from slowing demand.  The Cheerios cereal maker reported net sales $4.91 billion in the first quarter compared with $4.72 billion a year earlier.",2023-09-20 14:14:12.337602
47,"UPDATE 1-Euro zone bond yields dip before central bank decisions, gilt yields fall after CPI",Business,Reuters,"Euro zone bond yields dipped on Wednesday as investors looked ahead to the Federal Reserve's interest rate decision later in the day, with gilt yields notching a bigger decline after British inflation came in lower than expected.  The Bank of England is due to set interest rates on Thursday, followed by the Bank of Japan on Friday.  ""I think the move this morning is primarily a breather or minor pre-Fed correction or adjustment following the increase seen in yields over the past few days,"" said Jussi Hiljanen, head of European rates strategy at lender SEB.",2023-09-20 14:15:11.743940
48,England's National Health Service operates on holiday-level staffing as doctors' strike escalates,World,AP Finance,"Britain's state-owned health service is operating on holiday-level staffing in England on Wednesday as doctors in the early stages of their careers joined their more senior colleagues in their first-ever joint strike action.  Tens of thousands of so-called junior doctors walked off the job for the sixth time since last December in an escalation of their increasingly bitter pay dispute with the British government.  The walkout comes a day after their more senior colleagues, commonly known as consultants in Britain, began their third walkout.",2023-09-20 14:20:41.038411
49,UPDATE 1-Russia-Iran ties have reached new level - Russian defence minister,World,Reuters,"Relations between Russia and Iran have reached a new level despite opposition from much of the Western world, Russia's Defence Minister Sergei Shoigu said during his visit to Tehran on Wednesday.  ""We are aiming at an entire range of planned activities, despite opposition from the United States and its Western allies,"" the Interfax news agency cited Shoigu as saying.  ""Sanctions pressure on Russia and Iran shows its futility, while Russian-Iranian interaction is reaching a new level.""",2023-09-20 14:27:35.864459
50,US STOCKS-Futures inch up on hopes Fed may pause interest rate hikes,Business,Reuters,"U.S. stock index futures inched higher on Wednesday over expectations the Federal Reserve could pause its monetary tightening campaign, though concerns over rates staying higher for longer kept investors on edge.  The U.S. central bank is expected to maintain its key rate in the range of 5.25%-5.50% as it concludes its meeting at 2 p.m. ET, with investors focused on economic projections and Chair Jerome Powell's comments for clues on the outlook for rates and inflation.",2023-09-20 14:31:43.042238
51,"Textron announces option to sell up to 1,500 Cessna Citation aircraft to NetJets",Business,Reuters,"Cessna Citation business jets are designed, produced and delivered by Textron.  While continued supply chain and labor issues have hit Textron's most profitable aviation segment, the impact is countered by stronger pricing of its jets.",2023-09-20 14:38:08.853104
52,"British carmakers slam flip-flop on petrol car ban, seek certainty",World,Reuters,"British carmakers, which have invested billions in electric vehicles, urged the government on Wednesday to get a grip on its climate policy following reports it might delay a proposed ban on the sale of new petrol and diesel cars.  After weeks of speculation over the key net zero pledge, several media reported late Tuesday that Prime Minister Rishi Sunak would push back the ban by five years to 2035.  He is expected to set out the policy reset, aimed at easing the financial burden on households but slammed by some critics as a weakening of Britain's climate targets, in a speech at 1530 GMT on Wednesday.",2023-09-20 14:40:16.395962
53,UPDATE 1-Apple France workers call strike ahead of iPhone 15 launch,Business,Reuters,"Unions at the Apple France stores have called for a strike on Friday and Saturday ahead of the iPhone 15 launch, demanding better pay and working conditions.  ""Management having decided to ignore our perfectly legitimate demands and concerns, the four unions of Apple Retail France ...call for a strike on Sept. 22 and 23,"" CGT Apple Retail said in a union front statement on social media platform X, formerly Twitter, on Wednesday.  The unions also called for workers to demonstrate on Friday morning at the Paris Opera Garnier, which is next to one of Apple's flagship stores in Paris.",2023-09-20 14:40:16.403369
54,"FOREX-Dollar edges down before Fed decision, sterling falls on cooling UK inflation",Business,Reuters,"The dollar edged lower on Wednesday ahead of a much-anticipated rate decision by the Federal Reserve later in the day, while sterling slid on increased bets the Bank of England (BoE) will pause its historic run of interest rate hikes.  British annual consumer price inflation (CPI) unexpectedly fell to 6.7% in August, official data showed on Wednesday, a day before the BoE is expected to raise rates again.  Economists polled by Reuters had forecast CPI would rise to 7.0% from July's 6.8%.",2023-09-20 14:45:03.234944
55,"Vietnam detains energy policy think-tank chief, human rights group says",World,AP Finance,"Vietnam has detained the director of a think tank that works on energy issues in the country — the sixth expert working on environmental and climate issues that authorities have taken into custody in the past two years, a rights group said Wednesday.  Ngo Thi To Nhien, the executive director for Vietnam Initiative for Energy Transition (VIET) was arrested on Sept. 15, according to The 88 Project, a group that advocates for freedom of expression in Vietnam.  Police have said the earlier arrests of other energy experts were on suspicion of tax evasion.",2023-09-20 14:47:10.950771
56,"Coty boosts core sales forecast as price hikes, strong beauty demand help",Business,Reuters,"The company said since it reported earnings in August it has seen a strong momentum in beauty demand, particularly in prestige fragrances - its high-end segment that houses cosmetics and fragrances from the Hugo Boss, Gucci and Burberry brands.  Coty now expects fiscal 2024 core like-for-like (LFL) sales growth between 8% and 10%, up from its earlier outlook of LFL growth being at the top end of its target range of 6% to 8%.  However, in August, the company forecast annual profit below Wall Street estimates, on a likely hit from steeper input expenses in the first half of the year and said it would raise product prices as it battles higher costs and a strong dollar.",2023-09-20 14:47:10.950771
57,"UPDATE 1-Italy, KKR to ask for more time for Telecom Italia grid bid -sources",Business,Reuters,"U.S. fund KKR and Italy's Treasury are set to ask Telecom Italia (TIM) for more time to arrange a joint bid for its landline grid, three sources close to the matter said.  KKR last month won the backing of Prime Minister Giorgia Meloni's government, which authorised the Treasury to join its bid for an asset deemed of strategic national interest.  The U.S. fund's preliminary bid valued the business -- dubbed NetCo -- at around 23 billion euros ($25 billion) including debt and taking into account a number of variables.",2023-09-20 14:49:35.587941
